timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276563,12401701690,7528.32,46.239,55.062,16
1775276564,12401712316,10626.00,63.732,91.000,19
1775276565,12401722539,10223.00,64.215,106.969,19
1775276566,12401732841,10301.96,61.064,110.969,19
1775276567,12401743702,10861.04,62.068,110.969,19
1775276568,12401753940,10238.00,107.894,114.969,19
1775276569,12401761709,7768.98,95.296,118.938,19
1775276570,12401769618,7909.02,91.978,118.938,19
1775276571,12401780299,10680.87,88.234,118.938,19
1775276572,12401788630,8331.04,84.948,118.938,19
1775276573,12401795781,7151.05,82.955,118.938,19
1775276574,12401807285,11504.00,75.509,118.938,19
1775276575,12401816658,9373.00,71.776,118.938,19
1775276576,12401824953,8295.00,67.507,118.938,19
1775276577,12401832446,7492.92,64.448,118.938,19
1775276578,12401840880,8434.07,65.088,118.938,19
1775276579,12401848409,7529.02,53.242,118.906,19
1775276580,12401855136,6727.00,99.418,118.906,19
1775276581,12401863178,8041.97,101.368,118.906,19
1775276582,12401871857,8679.03,92.285,118.906,19
1775276583,12401881627,9770.00,80.450,118.906,19
1775276584,12401891486,9858.92,72.473,118.906,19
1775276585,12401899500,8014.06,72.099,118.906,19
1775276586,12401910444,10943.94,66.426,118.906,19
1775276587,12401919520,9075.98,53.965,118.906,19
1775276588,12401927349,7829.06,99.879,118.906,19
1775276589,12401935405,8056.00,101.220,118.906,19
1775276590,12401946174,10768.93,87.297,118.906,19
1775276591,12401954442,8268.03,85.473,118.906,19
