timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276630,12402351704,8192.82,181.064,186.906,16
1775276631,12402360627,8923.06,230.660,338.875,19
1775276632,12402370440,9813.01,224.986,394.812,19
1775276633,12402380289,9848.87,211.187,406.812,19
1775276634,12402391888,11599.15,393.483,406.812,19
1775276635,12402401787,9898.98,399.896,410.781,19
1775276636,12402412494,10706.96,347.088,450.750,19
1775276637,12402422408,9914.04,330.083,450.750,19
1775276638,12402433158,10750.02,311.362,450.750,19
1775276639,12402442609,9450.93,289.539,450.750,19
1775276640,12402453906,11297.07,248.654,450.750,19
1775276641,12402461887,7981.01,234.151,450.688,19
1775276642,12402471361,9473.99,220.338,450.688,19
1775276643,12402481074,9712.97,225.010,450.688,19
1775276644,12402490363,9288.96,407.622,450.688,19
1775276645,12402498002,7639.06,371.350,450.688,19
1775276646,12402506266,8263.99,314.230,450.688,19
1775276647,12402516567,10300.96,308.701,450.688,19
1775276648,12402527971,11403.97,273.359,450.688,19
1775276649,12402539427,11456.09,257.188,450.625,19
1775276650,12402550537,11109.99,258.009,450.625,19
1775276651,12402561611,11073.91,230.139,450.625,19
1775276652,12402572947,11336.10,413.053,450.625,19
1775276653,12402584187,11238.55,358.254,450.625,19
1775276654,12402593594,9408.22,342.036,450.625,19
1775276655,12402603556,9962.00,316.933,450.625,19
1775276656,12402611996,8440.00,302.529,450.625,19
1775276657,12402618968,6972.00,287.537,450.625,19
1775276658,12402627864,8895.99,285.244,450.625,19
1775276659,12402635356,7492.01,243.522,450.625,18
