timestamp,bytes_sent_cum,bandwidth_bps,heap_alloc_mb,heap_sys_mb,goroutines
1775276530,12401379361,8991.83,10.049,15.156,16
1775276531,12401392207,12846.05,11.894,27.125,19
1775276532,12401400104,7897.00,20.980,27.125,19
1775276533,12401411310,11206.01,20.245,27.094,19
1775276534,12401420288,8977.96,18.380,27.031,19
1775276535,12401432552,12264.04,16.915,27.031,19
1775276536,12401442175,9623.00,13.849,27.031,19
1775276537,12401451311,9135.94,12.628,27.031,19
1775276538,12401461330,10019.02,21.812,27.031,19
1775276539,12401470458,9128.05,19.494,31.031,19
1775276540,12401479671,9212.99,14.735,31.031,19
1775276541,12401490776,11105.02,12.598,31.031,19
1775276542,12401501795,11018.88,21.775,31.031,19
1775276543,12401513318,11523.11,19.714,31.031,19
1775276544,12401520344,7026.00,17.574,31.031,19
1775276545,12401527288,6944.00,14.667,31.031,19
1775276546,12401534282,6993.96,13.424,31.031,19
1775276547,12401542081,7798.99,22.948,31.031,19
1775276548,12401550216,8135.00,19.560,31.031,19
1775276549,12401560980,10764.07,15.927,31.031,19
1775276550,12401571039,10059.01,13.755,31.031,19
1775276551,12401580994,9954.95,22.833,31.031,19
1775276552,12401590392,9398.00,18.498,31.031,19
1775276553,12401600068,9675.98,16.270,31.031,19
1775276554,12401611506,11437.98,14.060,31.031,19
1775276555,12401622361,10855.11,12.964,31.031,19
1775276556,12401632509,10147.99,22.120,31.031,19
1775276557,12401640791,8281.99,19.030,31.031,19
1775276558,12401650751,9960.01,14.937,31.031,19
