sketch,mode,bandwidth_bps,peak_bw_bps,heap_mb,cpu_user_ms,cpu_sys_ms,cpu_pct,total_bytes,duration_s
CountSketch,raw-unbatched,20413.81211211727,130851.11152095276,108.35855865478516,4701.279,337.184,16.726417040209014,614964,30.122787133
CountSketch,raw-batched,7090.0837095673,8707.054358140358,105.74413299560547,4796.553,329.73100000000005,17.017702217665203,214286,30.123244222
CountSketch,cs-full,7461.3931018206695,11650.936583952172,102.0936279296875,4662.294,373.65999999999997,16.786462529104487,223417,30.000090795
CountSketch,cs-delta,7121.999813990204,9345.976635058414,106.93248748779297,4828.76,273.22,16.9470540608905,214914,30.105409363
CountMinSketch,raw-unbatched,7654.95012321804,20387.97280244428,255.031005859375,4277.201,376.641,15.461437207851327,232730,30.099672737
CountMinSketch,raw-batched,9097.08360835489,14816.996221665964,264.78931427001953,4406.881,299.915,15.635010887541995,274668,30.104206731
CountMinSketch,cms-full,10633.3547701064,17318.792122538154,256.2745590209961,4306.150000000001,295.785,15.284953961679543,317035,30.1076144
CountMinSketch,cms-delta,9954.92615785482,13794.903656392862,254.88875579833984,4246.605,323.505,15.233581511171861,302739,30.000233344
