series,bandwidth_bps,heap_mb,cpu_pct,total_bytes
100,9668.342914235658,22.94812774658203,4.862777742056551,289913
500,8975.179862071524,107.89448547363281,17.35748772293443,271260
1000,10454.477986351245,213.4474105834961,28.50562710595468,310749
2000,9728.156194225818,413.05323028564453,51.018820118633975,295715
